0:00	You know what's strange about people born in the 1990s? They remember a world that doesn't exist anymore. They played outside until the street lights came on,
0:08	but also remember their first AIM screen name. They used encyclopedias for school projects, but also downloaded music on
0:16	Napster. They're the last generation who had a childhood without smartphones, but came of age with social media. And that
0:23	split that created a psychology researchers are calling '90s kids syndrome. If you were born between 1990
0:30	and 1999, you occupy a space in history that will never be repeated. You're not quite a millennial. You're definitely
0:37	not Gen Z. You're the bridge between two incompatible worlds, Cartoon Network and YouTube, Blockbuster and Netflix,
0:46	playing outside and playing online. And here's what nobody tells you. That split childhood created adults who are
0:52	simultaneously nostalgic for simplicity and fluent in complexity. And it's affecting your mental health in ways you
0:59	probably don't even recognize. Picture this. It's 1998. You're 8 years old.
1:06	Saturday morning means waking up early for cartoons. Scooby-Doo, Rugrats,
1:11	Ducktales. You pour yourself a bowl of sugary cereal and sit cross-legged on the floor in front of the TV. No
1:18	tablets, no streaming services, no ondemand anything. If you missed it, you missed it. And somehow that made it
1:26	matter more. After cartoons, you head outside, not because your parents told you to, because that's what kids did.
1:32	You played hideand seek until dusk. You climbed trees. You rode bikes through the neighborhood without helmets or supervision. Scraped knees and muddy
1:41	clothes weren't emergencies. They were badges of honor, proving you'd actually live that day. According to research on '90s childhood, kids spent an average of 3 to four hours outside daily. Today,
1:53	less than 30 minutes. A 2023 WH study found that over 80% of today's adolescents don't meet recommended
2:02	physical activity levels. But you, you were the last generation that experienced unstructured outdoor play as
2:09	the default, not the exception. You didn't need fancy toys. A stick became a sword. An empty lot became a
2:16	battlefield. Your backyard transformed into whatever your imagination needed it to be. And because you couldn't Google what to do when bored, you developed
2:24	something rare. Creativity born from emptiness. The ability to generate fun from nothing. But here's where it gets complicated. You didn't just grow up
2:33	analog. You lived through the transition. You remember VHS tapes and rewinding them before returning to Blockbuster. But you also remember when
2:41	DVDs felt like magic. You used dialup internet where a single web page took 5 minutes to load. But by high school, you
2:49	had broadband. You type school papers on actual typewriters in elementary school.
2:53	By middle school, you were using word documents. According to researchers,
2:58	'90s babies experienced a unique blend of traditional education and the beginning of tech-based learning. You spent hours in libraries using card
3:06	cataloges and encyclopedias. But you were also the first generation to use computers in school regularly. You're bilingual in a way no generation before
3:15	or after will ever be. analog native digital fluent and social media. You remember life before it. You had actual
3:23	privacy. When you did something embarrassing, only the people there knew about it. No phones filming, no viral videos, no permanent digital record of
3:32	your worst moments. One '90s baby put it perfectly. We all talked crazy amounts of about each other and did shockingly inappropriate things, but we
3:40	never had to worry about it ending up where everyone could see it. You got to figure out who you were in private.
3:46	That's a luxury that will never exist again. But then MySpace launched when you were a teenager. Facebook opened to everyone when you were in high school or
3:54	college. Instagram appeared as you entered adulthood. You learn to curate yourself, to perform your life for an audience, to seek validation through
4:02	likes and comments. And that shift, it split your psychology in half. Here's [clears throat] what researchers noticed. '90s babies experience
4:11	unusually intense nostalgia. They call it '90s kids syndrome. And it's not just sentimentality, it's neurological.
4:19	According to studies on psychological essentialism, people tend to believe their personal experiences are more authentic than others. And '90s babies,
4:28	they lived through a fundamental shift.
4:30	They witnessed the death of one world and the birth of another. So when they look back, they're not just remembering their childhood. They're mourning an
4:38	entire way of life that disappeared. The rosy retrospection bias explains why you idealize the past. Your brain filters
4:45	out the mundane and distressing parts and preserves the emotional highs. It's not that the '9s were perfect. You just remember them that way. Because what
4:53	you're actually missing isn't the decade. It's the feeling. Being fully present without constant comparison,
5:00	living without performing, existing without documenting. One researcher described '90s kids perfectly. They are the living testimony endorsing the fall of antiquity and the rise of modernity.
5:11	You're the only generation that can compare both worlds accurately. You know what was gained. You also know what was lost. Here's the part that's harder to
5:19	talk about. A study from the University of California analyzing over 27,500 adults found something devastating.
5:28	People born in the '90s have worse mental health than any previous generation. Depression, anxiety, and other mental disorders are significantly
5:36	higher among '90s babies compared to those born in the 80s. And these disorders get progressively worse with age. The researchers concluded that
5:45	technology and social media use are primary factors. But it's more than that. You were raised with one set of values. Emotions and sentiments controlled us, as one researcher put it.
5:56	Then forced to adapt to a world where devices dominate everything. You learned that friendships were built through shared experiences. Then you watched
6:03	social media turn connection into performance. You developed self-worth through actual accomplishments. Then you entered a world where value is measured
6:11	in followers and likes. That cognitive dissonance creates psychological strain.
6:17	You're not depressed because you're weak. You're exhausted because you're living in two incompatible realities simultaneously. But here's what '90s
6:24	babies have that other generations don't. Perspective. You know what life was like without constant connectivity so you can put your phone down at
6:32	dinner. Take tech-free vacations. Sleep without checking devices because you remember what presence actually feels like. You value authenticity over
6:41	performance because you developed identity before audiences existed. You understand patience because you waited for things, for songs to download, for
6:49	photos to develop, for your favorite show to air at its scheduled time. You learned delayed gratification wasn't just acceptable, it was normal. You have
6:58	what researchers call a balanced childhood that straddled the line between analog and digital worlds. You
7:05	climbed trees and coded websites. You played tag and played video games. You read books and browsed the early
7:12	internet. That balance is rare and it's valuable. Today, '90s babies are in their mid20s to mid30s. You're
7:20	contributing to society in significant ways. You bring traditional values and technological fluency. You translate
7:27	between generations at work. You bridge your boomer parents and your Gen Alpha kids. You're the mediators, the
7:34	explainers, the ones who remember both before and after. Here's what nobody tells you about being a '90s baby.
7:41	You'll spend your life caught between nostalgia and adaptation. You'll watch younger generations grow up completely digital and feel both envious and
7:50	relieved they'll never know what they're missing. You'll hear older generations romanticize the good old days and think,
7:57	"I actually remember those days. They weren't that simple. You're not better than other generations." You're different, shaped by timing. By being
